epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5696,2.47431,3.70237,0.05608,0.00258,0.729,0.01702,0.00431,2.41264,4.14616,0.06763,0.00031,0.00031,0.06931
2,80.5405,1.93686,2.8434,0.04091,0.08875,0.50678,0.08438,0.02915,1.8415,3.147,0.04744,0.00060921,0.00060921,0.0376092
3,116.485,1.86782,2.56383,0.03795,0.47956,0.38211,0.34054,0.13956,2.03743,2.60103,0.05656,0.0008873,0.0008873,0.0058873
4,152.403,1.80444,2.30539,0.03658,0.41173,0.35501,0.31314,0.08229,2.26567,2.5686,0.06561,0.000901,0.000901,0.000901
5,188.57,1.75608,2.12648,0.03609,0.51387,0.50949,0.41424,0.1633,2.04516,1.97198,0.05405,0.000868,0.000868,0.000868
6,224.036,1.71738,1.96958,0.03478,0.57318,0.50136,0.47339,0.19954,1.92011,1.91795,0.04915,0.000835,0.000835,0.000835
7,259.279,1.75001,2.00531,0.03522,0.63061,0.53388,0.59005,0.27439,1.83302,1.71365,0.04416,0.000802,0.000802,0.000802
8,296.756,1.68425,1.83228,0.03314,0.68661,0.62602,0.66929,0.36384,1.65727,1.43241,0.04016,0.000769,0.000769,0.000769
9,340.761,1.66506,1.7779,0.03265,0.72878,0.60434,0.6635,0.37708,1.63255,1.34217,0.03705,0.000736,0.000736,0.000736
10,378.787,1.69935,1.70935,0.03438,0.76908,0.5393,0.66083,0.33809,1.75967,1.49417,0.04346,0.000703,0.000703,0.000703
11,414.197,1.60642,1.62746,0.03273,0.78267,0.69292,0.75241,0.40804,1.59245,1.21268,0.03755,0.00067,0.00067,0.00067
12,448.459,1.58087,1.60896,0.03129,0.77483,0.62873,0.72082,0.39097,1.61048,1.31275,0.03934,0.000637,0.000637,0.000637
13,482.461,1.59459,1.50828,0.03234,0.69261,0.69919,0.73693,0.39119,1.64366,1.19795,0.04042,0.000604,0.000604,0.000604
14,517.281,1.57229,1.46587,0.03174,0.69511,0.69818,0.73868,0.41311,1.52735,1.18898,0.03449,0.000571,0.000571,0.000571
15,562.632,1.55315,1.4895,0.03153,0.78328,0.66603,0.75977,0.44859,1.49408,1.16034,0.03511,0.000538,0.000538,0.000538
16,612.507,1.55818,1.4689,0.02974,0.84714,0.7019,0.78331,0.44749,1.49422,1.11463,0.03498,0.000505,0.000505,0.000505
17,651.988,1.54205,1.38189,0.02997,0.74868,0.6943,0.75399,0.41671,1.56796,1.1137,0.03566,0.000472,0.000472,0.000472
18,701.852,1.47143,1.33049,0.02905,0.87489,0.69106,0.80517,0.45794,1.49618,1.02815,0.03305,0.000439,0.000439,0.000439
19,749.561,1.45444,1.29675,0.02845,0.88162,0.7064,0.80582,0.44921,1.54809,1.0103,0.03405,0.000406,0.000406,0.000406
20,798.31,1.45563,1.29688,0.02817,0.8425,0.68564,0.79754,0.42941,1.61275,1.03159,0.03644,0.000373,0.000373,0.000373
21,834.372,1.40343,1.08051,0.03771,0.78901,0.63847,0.74578,0.42044,1.61651,1.10216,0.0385,0.00034,0.00034,0.00034
22,882.794,1.35317,0.90223,0.03535,0.86267,0.73442,0.8409,0.48372,1.51048,0.86243,0.0341,0.000307,0.000307,0.000307
23,931.863,1.32683,0.86996,0.03465,0.81635,0.74686,0.81514,0.45795,1.52851,0.93362,0.03457,0.000274,0.000274,0.000274
24,965.456,1.30476,0.80292,0.03394,0.81802,0.7561,0.81711,0.4269,1.60335,0.9575,0.03511,0.000241,0.000241,0.000241
25,998.6,1.29289,0.80055,0.0331,0.84416,0.74869,0.81034,0.46972,1.45481,0.91695,0.03233,0.000208,0.000208,0.000208
26,1032.1,1.22544,0.76255,0.03185,0.8453,0.77003,0.82749,0.46818,1.50081,0.89087,0.03407,0.000175,0.000175,0.000175
27,1066.72,1.26566,0.74451,0.03186,0.8326,0.79524,0.83632,0.49029,1.45712,0.85405,0.03285,0.000142,0.000142,0.000142
28,1101.13,1.19374,0.72559,0.03033,0.81536,0.77789,0.83125,0.47994,1.49671,0.84323,0.03371,0.000109,0.000109,0.000109
29,1135.35,1.20147,0.76434,0.0295,0.81508,0.80488,0.83643,0.48215,1.46649,0.84355,0.03215,7.6e-05,7.6e-05,7.6e-05
30,1168.41,1.21031,0.72457,0.03084,0.82401,0.78049,0.84101,0.47954,1.48682,0.83546,0.03313,4.3e-05,4.3e-05,4.3e-05
